faculty_phd,faculty_other,frac_research_phd,frac_research_other,research_budget_million,centres_of_excellence_count,teaching_load_per_faculty,diversity_index,industry_collaborations,student_count,num_courses,papers_t1,citation_percentile_avg,overall_rank,cost_efficiency
199.0,16,0.6300551642748937,0.05,3745.910135767724,9.0,8.663292328041244,0.6524551004092407,79.58684797383324,7111.0,47.0,26.0,0.6627824792105674,159.78876656519483,251.4599910987718
51.0,71,0.5274162757314584,0.05,2817.350317576279,9.0,13.82889891582503,0.6524551004092407,81.0,7111.0,158.0,11.0,0.6042018583845504,431.0,56.59892391756853
199.0,71,0.6300551642748937,0.05,509.15751842709625,13.0,11.055492766758691,0.4317855779242594,81.0,7111.0,252.0,11.0,0.6627824792105674,193.0983152073974,251.4599910987718
5.0,13,0.3186693599504146,0.5501606340371358,315.703137938158,11.405053896591317,15.0,0.611939512346158,40.19850629472585,3486.272482814983,71.0,5000.0,1.0,58.0,132.9721118249659
5.0,45,0.3683739808285903,0.05,3745.910135767724,9.0,9.686458138486584,0.6238276858349162,19.0,7111.0,47.0,5000.0,0.8216175985252997,455.0,152.2067811201273
51.0,45,0.6300551642748937,0.05,315.703137938158,14.0,9.686458138486584,0.1116416111106377,64.57396898323233,4616.0,11.0,5000.0,0.5375601109921441,161.94061486547628,132.9721118249659
5.0,13,0.4654319118573313,0.1061548515080378,3921.101967019291,12.956006162392056,10.938879905326022,0.5742707798232753,63.75575872230224,7388.0,252.0,5000.0,1.0,39.0,132.9721118249659
5.0,45,0.3683739808285903,0.05,509.15751842709625,11.405053896591317,7.961502191606451,0.5663422451550816,19.0,7111.0,47.0,5000.0,0.8681602670208307,155.0,152.2067811201273
5.0,13,0.6300551642748937,0.1061548515080378,102682.86848564807,7.745500237522655,15.0,0.5836960831259723,93.0,741.0,159.0,5000.0,0.8681602670208307,157.3427905270475,152.2067811201273
5.0,13,0.6300551642748937,0.05,3921.101967019291,4.010873377134887,11.055492766758691,0.5836960831259723,54.09025253512824,3716.7864563701423,27.995940807163286,5000.0,0.8681602670208307,155.0,132.9721118249659
51.0,13,0.4696474137472572,0.05,2817.350317576279,9.0,12.896535066739597,0.1116416111106377,81.0,3039.9581374432173,254.0,5000.0,0.8681602670208307,431.0,152.2067811201273
